Study,Year,Dataset,Data_pool,Data_overlap,imaging_spec,exclude_data_overlap,reporting_validation_set,flagged_outlier,diagnosis,sensitivity,specificity,n1,n2,imaging,mL_method,mL,CV,flagged_external_outlier
"Masoudi et al., 2020",2020,Cobre,Cobre,1,DTI+FC,1,0,0,Scz,0.99,0.87,64,81,Multimodal,CNN+many,nonlinear,Fold,0
"Wang et al., 2020",2020,Cobre,Cobre,1,FC,1,0,0,Scz,0.79,0.68,60,71,FC,CNN,nonlinear,Fold,0
"Lin et al., 2021",2021,UCLA,UCLA,1,FC+sMRI+DTI,1,1,1,Scz,0.7,0.6095,49,122,Multimodal,SVM,linear,Fold,0
"Hu et al., 2022",2022,"NUSDAST, IMH",IMH,1,DTI+T1,0,1,0,Scz,0.86,0.56,148,76,Multimodal,CNN+many,nonlinear,Fold,0
"Gallos et al., 2021",2021,Cobre,Cobre,1,FC,1,0,1,Scz,0.5757,0.7331,72,74,FC,SVM+many,nonlinear,Fold,0
"Latha et al., 2021",2021,"NAMIC, SchizConnect",Pooled,1,T1,1,0,1,SSD,0.916666667,0.892857143,112,84,T1,FuzzySVM,linear,Fold,0
"Lei et al., 2022",2022,"Huaxi, UCLA, Dublin, Maastricht, Cobre",Pooled,1,FC,1,1,0,Scz,0.728,0.797,505,907,FC,Deep,nonlinear,LOO,0
"Oh et al., 2022",2022,Original,Original,0,FC,0,0,0,Scz,0.83,0.83,171,161,FC,CNN,nonlinear,Fold,0
Cui et al 2022,2022,W China,Pooled,1,T1,1,1,0,Scz,0.79555,0.77765,662,613,T1,Deep,nonlinear,LOO,0
"Vyskovsky et al., 2022",2022,BRNO,BRNO,1,T1,1,0,1,FES,0.587016667,0.546741667,52,52,T1,Deep,nonlinear,TTS,0
"Yuan et al., 2022",2022,Cobre,Cobre,1,FC,1,0,1,Scz,0.6425,0.5522,53,67,FC,SVM,linear,Fold,0
